cust_id,acc_name,acc_id
329748658,Annual Maintenance Contract Silver 3 years,59
455176032,Roadside Assistance 2nd Year + 3rd Year,26
485452397,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
351267130,Handlebar Brace Pad,9
351267130,Short Flyscreen Kit,25
351267130,Aluminium Sumpguard,14
351267130,Touring Mirror Kit,18
351267130,Roadside Assistance 2nd Year + 3rd Year,26
351267130,Silver AMC,27
810983263,Roadside Assistance 2nd Year + 3rd Year,26
865607306,Bar End Mirror Kit,28
865607306,Touring Dual Seat,36
865607306,Compact Engine Guard,24
865607306,Gold AMC,20
865607306,Extended Warranty - 4th Year + 5th Year,23
211468874,Roadside Assistance 2nd Year + 3rd Year,26
211468874,Extended Warranty - 4th Year + 5th Year,23
480585876,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
181617013,"Air Fly Engine Guard, Black",1
181617013,Extended Warranty BS6 (edge) - 4th & 5th Year,52
